PROVINCE,PROVINCE_C,DISTRICT,DISTRICT_C,TEHSIL,TEHSIL_C,Union Council,UC_C
Khyber Pakhtunkhwa,2,Shangla,220,Bisham,22002,Botial,200697
Khyber Pakhtunkhwa,2,Shangla,220,Bisham,22002,Dandai,200698
Khyber Pakhtunkhwa,2,Shangla,220,Bisham,22002,Maira,200699
Khyber Pakhtunkhwa,2,Buner,204,Chagharzai,20401,Batara,200105
Khyber Pakhtunkhwa,2,Buner,204,Chagharzai,20401,Gulbandai,200106
Khyber Pakhtunkhwa,2,Buner,204,Chagharzai,20401,Pandair,200107
Khyber Pakhtunkhwa,2,Buner,204,Chagharzai,20401,Soray,200108
Khyber Pakhtunkhwa,2,Buner,204,Chamla,20402,Amazai,200109
Khyber Pakhtunkhwa,2,Buner,204,Chamla,20402,Koga,200110
Khyber Pakhtunkhwa,2,Buner,204,Chamla,20402,Makhranai,200111
Khyber Pakhtunkhwa,2,Buner,204,Chamla,20402,Nawagai,200112
Khyber Pakhtunkhwa,2,Swat,222,Charbagh,22204,Charbagh,200786
Khyber Pakhtunkhwa,2,Swat,222,Charbagh,22204,Gulibagh,200787
Khyber Pakhtunkhwa,2,Swat,222,Charbagh,22204,Kashora,200788
Khyber Pakhtunkhwa,2,Swat,222,Charbagh,22204,Taligram,200789
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Agra,200132
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Batgram,200133
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Behlola,200134
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Chindro Dag,200135
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Dargai,200136
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Daulatpura,200137
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Dheri Zardad Khan,200138
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Dusara,200139
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Ghunda Karkana,200140
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Haji Zai,200141
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Hassan Zai,200142
