PROVINCE,PROVINCE_C,DISTRICT,DISTRICT_C,TEHSIL,TEHSIL_C
Fata,4,Fr Kohat,410,Fr Kohat,41001
Fata,4,Orakzai Agency,406,Central Orakzai,40601
Fata,4,Orakzai Agency,406,Upper Orakzai,40604
Fata,4,Kurram Agency,403,Lower Kurram,40302
Fata,4,Orakzai Agency,406,Lower Orakzai,40603
Fata,4,Fr Peshawar,412,Fr Peshawar,41201
Fata,4,Kurram Agency,403,Central Kurram,40301
Fata,4,Khyber Agency,402,Bara,40201
Fata,4,Kurram Agency,403,Upper Kurram,40303
Fata,4,Khyber Agency,402,Jamrud,40202
Fata,4,Khyber Agency,402,Landi Kotal,40203
Fata,4,Mohmand Agency,404,Yaka Ghund,40407
Fata,4,Mohmand Agency,404,Halimzai,40402
Fata,4,Mohmand Agency,404,Prang Ghar,40404
Fata,4,Mohmand Agency,404,Pindiali,40403
Fata,4,Mohmand Agency,404,Ambar Utman Khel,40401
Fata,4,Mohmand Agency,404,Upper Momand,40406
Fata,4,Bajaur Agency,401,Barang,40101
Fata,4,Mohmand Agency,404,Safi,40405
Fata,4,Bajaur Agency,401,Bar Chamarkand,40102
Fata,4,Bajaur Agency,401,Nawagai,40105
Fata,4,Bajaur Agency,401,Utman Khel Tehsil,40107
Fata,4,Bajaur Agency,401,Khar,40103
Fata,4,Bajaur Agency,401,Mamund,40104
Fata,4,Bajaur Agency,401,Salarzai Tehsil,40106
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101
Khyber Pakhtunkhwa,2,Batagram,203,Alai,20301
Khyber Pakhtunkhwa,2,Shangla,220,Alpuri,22001
Khyber Pakhtunkhwa,2,Swat,222,Babuzai,22201
Khyber Pakhtunkhwa,2,Swat,222,Bahrain,22202
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601
Khyber Pakhtunkhwa,2,Karak,210,Banda Daud Shah,21001
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201
Khyber Pakhtunkhwa,2,Upper Dir,230,Barawal,23001
Khyber Pakhtunkhwa,2,Swat,222,Barikot,22203
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302
Khyber Pakhtunkhwa,2,Shangla,220,Bisham,22002
Khyber Pakhtunkhwa,2,Chitral,206,Chitral,20601
Khyber Pakhtunkhwa,2,Buner,204,Chagharzai,20401
Khyber Pakhtunkhwa,2,Buner,204,Chamla,20402
Khyber Pakhtunkhwa,2,Swat,222,Charbagh,22204
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501
Khyber Pakhtunkhwa,2,Shangla,220,Chiksar,22003
Khyber Pakhtunkhwa,2,Buner,204,Daggar,20403
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Daraban,20701
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702
Khyber Pakhtunkhwa,2,Upper Dir,230,Dir,23002
Khyber Pakhtunkhwa,2,Bannu,202,Domel,20202
Khyber Pakhtunkhwa,2,Buner,204,Gagra,20404
Khyber Pakhtunkhwa,2,Haripur,209,Ghazi,20901
Khyber Pakhtunkhwa,2,Hangu,208,Hangu,20801
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902
Khyber Pakhtunkhwa,2,Upper Dir,230,Kalkot,23003
Khyber Pakhtunkhwa,2,Swat,222,Kabal,22205
Khyber Pakhtunkhwa,2,Swat,222,Kalam,22206
Khyber Pakhtunkhwa,2,Karak,210,Karak,21002
Khyber Pakhtunkhwa,2,Mardan,217,Katlang,21701
Khyber Pakhtunkhwa,2,Swat,222,Khwazakhela,22207
Khyber Pakhtunkhwa,2,Kohat,211,Kohat,21101
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Kulachi,20703
Khyber Pakhtunkhwa,2,Kohat,211,Lachi,21102
Khyber Pakhtunkhwa,2,Swabi,221,Lahor,22101
Khyber Pakhtunkhwa,2,Lakki Marwat,213,Lakki Marwat,21301
Khyber Pakhtunkhwa,2,Chitral,206,Mastuj,20602
Khyber Pakhtunkhwa,2,Mansehra,216,Mansehra,21602
Khyber Pakhtunkhwa,2,Mardan,217,Mardan,21702
Khyber Pakhtunkhwa,2,Shangla,220,Martung,22004
Khyber Pakhtunkhwa,2,Swat,222,Matta Khararai,22208
Khyber Pakhtunkhwa,2,Swat,222,Matta Sebujni,22209
Khyber Pakhtunkhwa,2,Nowshera,218,Nowshera,21801
Khyber Pakhtunkhwa,2,Mansehra,216,Oghi,21603
Khyber Pakhtunkhwa,2,Nowshera,218,Pabbi,21802
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Paharpur,20704
Khyber Pakhtunkhwa,2,Kohistan,212,Palas,21202
Khyber Pakhtunkhwa,2,Kohistan,212,Pattan,21203
Khyber Pakhtunkhwa,2,Peshawar,219,Peshawar,21901
Khyber Pakhtunkhwa,2,Buner,204,Pir Baba/ Gadaizi,20405
Khyber Pakhtunkhwa,2,Shangla,220,Puran,22005
